"name.library.x","replicate","forward_FASTQ_file","forward_file_loc","reverse_FASTQ_file","reverse_file_loc"
"LNPA-75_(SP)",1,"N711-N503_S29_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L001_R1_001.fastq.gz","N711-N503_S29_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L001_R2_001.fastq.gz"
"LNPA-75_(SP)",2,"N711-N503_S29_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L002_R1_001.fastq.gz","N711-N503_S29_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L002_R2_001.fastq.gz"
"LNPA-75_(SP)",3,"N711-N503_S29_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L003_R1_001.fastq.gz","N711-N503_S29_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L003_R2_001.fastq.gz"
"LNPA-75_(SP)",4,"N711-N503_S29_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L004_R1_001.fastq.gz","N711-N503_S29_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N711-N503_S29_L004_R2_001.fastq.gz"
"LNPA-77",1,"N706-N505_S27_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L001_R1_001.fastq.gz","N706-N505_S27_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L001_R2_001.fastq.gz"
"LNPA-77",2,"N706-N505_S27_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L002_R1_001.fastq.gz","N706-N505_S27_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L002_R2_001.fastq.gz"
"LNPA-77",3,"N706-N505_S27_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L003_R1_001.fastq.gz","N706-N505_S27_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L003_R2_001.fastq.gz"
"LNPA-77",4,"N706-N505_S27_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L004_R1_001.fastq.gz","N706-N505_S27_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N706-N505_S27_L004_R2_001.fastq.gz"
"LNPA-79",1,"N705-N503_S19_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L001_R1_001.fastq.gz","N705-N503_S19_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L001_R2_001.fastq.gz"
"LNPA-79",2,"N705-N503_S19_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L002_R1_001.fastq.gz","N705-N503_S19_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L002_R2_001.fastq.gz"
"LNPA-79",3,"N705-N503_S19_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L003_R1_001.fastq.gz","N705-N503_S19_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L003_R2_001.fastq.gz"
"LNPA-79",4,"N705-N503_S19_L004_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L004_R1_001.fastq.gz","N705-N503_S19_L004_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/plate_2/FASTQ/N705-N503_S19_L004_R2_001.fastq.gz"
"LNPA-7_(SP)",1,"N708-N506_S58_L001_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L001_R1_001.fastq.gz","N708-N506_S58_L001_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L001_R2_001.fastq.gz"
"LNPA-7_(SP)",2,"N708-N506_S58_L002_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L002_R1_001.fastq.gz","N708-N506_S58_L002_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L002_R2_001.fastq.gz"
"LNPA-7_(SP)",3,"N708-N506_S58_L003_R1_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L003_R1_001.fastq.gz","N708-N506_S58_L003_R2_001.fastq.gz","/project/berglandlab/Data_from_WorkStation/icy_1/inbreedlines/ab_03_17_2015/FASTQ/N708-N506_S58_L003_R2_001.fastq.gz"
