sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	SRA_experiment	type	PCA.set	FST.set	GLM.set	IND.set
ES_Gim_16_33	Spain	Gimenells	ES_Gim	8/25/16	40	SRR8494470	SRX5298997	pooled	FALSE	FALSE	TRUE	FALSE
ES_Gim_16_34	Spain	Gimenells	ES_Gim	10/21/16	40	SRR8494472	SRX5298995	pooled	FALSE	FALSE	TRUE	FALSE
ES_Gua_15_32	Spain	Guadix	ES_Gua	9/12/15	40	SRR8439164	SRX5246544	pooled	FALSE	TRUE	TRUE	FALSE
ES_Pur_16_35	Spain	Purullena. El Bejarðn (Guadix)	ES_Pur	8/30/16	40	SRR8494462	SRX5299005	pooled	FALSE	TRUE	TRUE	FALSE
ES_Tom_15_28	Spain	Tomelloso	ES_Tom	10/8/15	40	SRR8439136	SRX5246572	pooled	FALSE	TRUE	TRUE	FALSE
ES_Tom_15_29	Spain	Tomelloso	ES_Tom	9/17/15	40	SRR8439137	SRX5246571	pooled	FALSE	TRUE	TRUE	FALSE
ES_Tom_16_36	Spain	Tomelloso	ES_Tom	9/2/16	40	SRR8494461	SRX5299006	pooled	FALSE	TRUE	TRUE	FALSE
ES_Tom_16_37	Spain	Tomelloso	ES_Tom	10/11/16	40	SRR8494460	SRX5299007	pooled	FALSE	FALSE	TRUE	FALSE
FI_Aka_14_36	Finland	Akaa	FI_Aka	7/25/14	40	SRR5647775	SRX2885333	pooled	FALSE	FALSE	TRUE	FALSE
FI_Aka_14_37	Finland	Akaa	FI_Aka	8/27/14	40	SRR5647774	SRX2885334	pooled	FALSE	FALSE	TRUE	FALSE
FI_Aka_15_34	Finland	Akaa	FI_Aka	10/1/15	40	SRR8439162	SRX5246546	pooled	TRUE	TRUE	TRUE	FALSE
FI_Aka_15_35	Finland	Akaa	FI_Aka	7/21/15	40	SRR8439161	SRX5246547	pooled	TRUE	TRUE	TRUE	FALSE
FI_Aka_16_5	Finland	Akaa	FI_Aka	7/24/16	40	SRR8494445	SRX5299022	pooled	TRUE	TRUE	TRUE	FALSE
FI_Aka_16_6	Finland	Akaa	FI_Aka	9/17/16	40	SRR8494443	SRX5299024	pooled	TRUE	FALSE	TRUE	FALSE
FI_Ves_14_38	Finland	Vesanto	FI_Ves	7/26/14	33	SRR5647773	SRX2885335	pooled	FALSE	TRUE	TRUE	FALSE
FI_Ves_16_7	Finland	Vesanto	FI_Ves	7/29/16	40	SRR8494442	SRX5299025	pooled	FALSE	FALSE	TRUE	FALSE
FR_Got_14_08	France	Gotheron	FR_Got	7/8/14	40	SRR5647753	SRX2885355	pooled	FALSE	TRUE	TRUE	FALSE
FR_Got_15_47	France	Gotheron	FR_Got	5/21/15	40	SRR8439122	SRX5246586	pooled	FALSE	TRUE	TRUE	FALSE
FR_Got_15_48	France	Gotheron	FR_Got	9/9/15	40	SRR8439123	SRX5246585	pooled	FALSE	TRUE	TRUE	FALSE
FR_Got_15_49	France	Gotheron	FR_Got	10/13/15	40	SRR8439126	SRX5246582	pooled	FALSE	TRUE	TRUE	FALSE
FR_Got_16_8	France	Gotheron	FR_Got	6/13/16	40	SRR8494447	SRX5299020	pooled	FALSE	FALSE	TRUE	FALSE
FR_Vil_14_05	France	Viltain	FR_Vil	8/18/14	40	SRR5647755	SRX2885353	pooled	FALSE	TRUE	TRUE	FALSE
FR_Vil_14_07	France	Viltain	FR_Vil	10/27/14	40	SRR5647729	SRX2885379	pooled	FALSE	TRUE	TRUE	FALSE
FR_Vil_15_40	France	Viltain	FR_Vil	8/10/15	40	SRR8439165	SRX5246543	pooled	FALSE	TRUE	TRUE	FALSE
FR_Vil_15_41	France	Viltain	FR_Vil	10/14/15	40	SRR8439120	SRX5246588	pooled	FALSE	TRUE	TRUE	FALSE
FR_Vil_16_9	France	Viltain	FR_Vil	8/12/16	40	SRR8494435	SRX5299032	pooled	FALSE	FALSE	TRUE	FALSE
GS_Des_15_1	Guadeloupe	Deshaies	GS_Des	12/16/15	40	SRR8439114	SRX5246595	pooled	FALSE	FALSE	TRUE	FALSE
GS_Sai_15_2	Guadeloupe	Saint Francois	GS_Sai	12/23/15	40	SRR8439112	SRX5246596	pooled	FALSE	FALSE	TRUE	FALSE
HU_Sze_16_14	Hungary	Szeged	HU_Sze	8/28/16	40	SRR8494453	SRX5299014	pooled	FALSE	TRUE	TRUE	FALSE
IT_Mez_15_43	Italy	Mezzocorona	IT_Mez	9/29/15	40	SRR8439118	SRX5246590	pooled	FALSE	TRUE	TRUE	FALSE
IT_Mez_15_44	Italy	Mezzolombardo	IT_Mez	10/10/15	40	SRR8439119	SRX5246589	pooled	FALSE	FALSE	TRUE	FALSE
IT_Tre_16_15	Italy	Trentino (San Michele a/A)	IT_Tre	8/24/16	40	SRR8494456	SRX5299011	pooled	FALSE	FALSE	TRUE	FALSE
PO_Brz_15_12	Poland	Brzezina	PO_Brz	9/28/15	40	SRR8439154	SRX5246554	pooled	FALSE	TRUE	TRUE	FALSE
PO_Brz_16_17	Poland	Brzezina	PO_Brz	8/8/16	40	SRR8494458	SRX5299009	pooled	FALSE	FALSE	TRUE	FALSE
PO_Gda_16_16	Poland	Gdansk	PO_Gda	8/1/16	40	SRR8494455	SRX5299012	pooled	FALSE	TRUE	TRUE	FALSE
PT_Rec_14_33	Portugal	Recarei	PT_Rec	9/26/14	40	SRR5647770	SRX2885338	pooled	FALSE	TRUE	TRUE	FALSE
PT_Rec_15_16	Portugal	Recarei	PT_Rec	9/1/15	40	SRR8439150	SRX5246558	pooled	FALSE	FALSE	TRUE	FALSE
PT_Rec_16_18	Portugal	Recarei	PT_Rec	10/1/16	40	SRR8494457	SRX5299010	pooled	FALSE	FALSE	TRUE	FALSE
RS_Kal_16_28	Serbia	Kalna	RS_Kal	6/30/16	40	SRR8494479	SRX5298988	pooled	FALSE	TRUE	TRUE	FALSE
RS_Kal_16_29	Serbia	Kalna	RS_Kal	9/13/16	40	SRR8494471	SRX5298996	pooled	FALSE	FALSE	TRUE	FALSE
RS_Sla_16_30	Serbia	Slankamen. Vinogradi	RS_Sla	6/18/16	40	SRR8494473	SRX5298994	pooled	FALSE	TRUE	TRUE	FALSE
RS_Sla_16_31	Serbia	Slankamen. Vinogradi	RS_Sla	9/9/16	40	SRR8494474	SRX5298993	pooled	FALSE	FALSE	TRUE	FALSE
RU_Ale_15_55	Russia	Alexandrov	RU_Ale	9/15/15	40	SRR8439141	SRX5246567	pooled	FALSE	TRUE	TRUE	FALSE
RU_Ale_16_22	Russia	Alexandrov	RU_Ale	10/15/16	40	SRR8494476	SRX5298991	pooled	FALSE	FALSE	TRUE	FALSE
RU_Val_14_51	Russia	Valday	RU_Val	8/17/14	40	SRR5647741	SRX2885367	pooled	FALSE	TRUE	TRUE	FALSE
RU_Val_16_19	Russia	Valday	RU_Val	8/23/16	40	SRR8494449	SRX5299018	pooled	FALSE	TRUE	TRUE	FALSE
RU_Val_16_20	Russia	Valday	RU_Val	9/29/16	40	SRR8494450	SRX5299017	pooled	FALSE	TRUE	TRUE	FALSE
RU_Val_16_21	Russia	Valday	RU_Val	10/24/16	40	SRR8494477	SRX5298990	pooled	FALSE	FALSE	TRUE	FALSE
RU_tul_15_37	Russia	tula	RU_tul	9/20/15	40	SRR8439159	SRX5246549	pooled	FALSE	TRUE	TRUE	FALSE
RU_val_15_36	Russia	valday	RU_val	8/23/15	40	SRR8439160	SRX5246548	pooled	FALSE	TRUE	TRUE	FALSE
RU_val_15_38	Russia	valday	RU_val	10/5/15	40	SRR8439158	SRX5246550	pooled	FALSE	FALSE	TRUE	FALSE
SE_Lun_14_30	Sweden	Lund	SE_Lun	7/31/14	40	SRR5647735	SRX2885373	pooled	FALSE	TRUE	TRUE	FALSE
SE_Lun_15_14	Sweden	Lund	SE_Lun	8/24/15	40	SRR8439156	SRX5246552	pooled	FALSE	TRUE	TRUE	FALSE
SE_Lun_15_15	Sweden	Lund	SE_Lun	8/8/15	40	SRR8439151	SRX5246557	pooled	FALSE	FALSE	TRUE	FALSE
TR_Yes_14_03	Turkey	Yesiloz	TR_Yes	8/31/14	40	SRR5647749	SRX2885359	pooled	FALSE	FALSE	TRUE	FALSE
TR_Yes_14_04	Turkey	Yesiloz	TR_Yes	10/23/14	40	SRR5647748	SRX2885360	pooled	FALSE	FALSE	TRUE	FALSE
TR_Yes_15_3	Turkey	Yesiloz	TR_Yes	5/1/15	40	SRR8439113	SRX5246594	pooled	TRUE	TRUE	TRUE	FALSE
TR_Yes_15_4	Turkey	Yesiloz	TR_Yes	6/1/15	40	SRR8439111	SRX5246597	pooled	FALSE	FALSE	TRUE	FALSE
TR_Yes_15_5	Turkey	Yesiloz	TR_Yes	7/28/15	40	SRR8439110	SRX5246598	pooled	TRUE	TRUE	TRUE	FALSE
TR_Yes_15_6	Turkey	Yesiloz	TR_Yes	8/27/15	40	SRR8439109	SRX5246599	pooled	TRUE	TRUE	TRUE	FALSE
TR_Yes_15_7	Turkey	Yesiloz	TR_Yes	9/17/15	40	SRR8439108	SRX5246600	pooled	FALSE	FALSE	TRUE	FALSE
TR_Yes_15_8	Turkey	Yesiloz	TR_Yes	10/15/15	40	SRR8439107	SRX5246601	pooled	TRUE	FALSE	TRUE	FALSE
TR_Yes_16_39	Turkey	Yesiloz TR13	TR_Yes	5/26/16	40	SRR8494467	SRX5299000	pooled	TRUE	FALSE	TRUE	FALSE
TR_Yes_16_40	Turkey	Yesiloz TR14	TR_Yes	6/25/16	40	SRR8494465	SRX5299002	pooled	TRUE	FALSE	TRUE	FALSE
TR_Yes_16_41	Turkey	Yesiloz TR15	TR_Yes	7/27/16	40	SRR8494464	SRX5299003	pooled	TRUE	FALSE	TRUE	FALSE
TR_Yes_16_42	Turkey	Yesiloz TR16	TR_Yes	8/24/16	40	SRR8494463	SRX5299004	pooled	TRUE	FALSE	TRUE	FALSE
