row,author,species,numInd,p/i,continent,country,state,city,lat,long,year,month,day,biosamp,sra,identifier
341, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452788,SRR2396858,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_4_1
342, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452789,SRR2396859,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_6_1
343, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452790,SRR2396860,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_8_1
344, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452791,SRR2396861,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_10_1
345, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452792,SRR2396862,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_12_1
346, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452793,SRR2396863,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_14_1
347, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452794,SRR2396864,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_16_1
348, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452795,SRR2396865,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_20_1
349, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452796,SRR2396866,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_22_1
350, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452797,SRR2396867,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:I_24_1
351, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452798,SRR2396868,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_2_1
352, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452799,SRR2396869,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_4_1
353, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452800,SRR2396870,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_6_1
354, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452801,SRR2396871,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_8_1
355, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452802,SRR2396872,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_10_1
356, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452804,SRR2396874,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_16_1
357, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452805,SRR2396875,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_18_1
358, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452806,SRR2396876,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_20_1
359, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452807,SRR2396877,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:K_24_1
360, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452808,SRR2396878,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_2_1
361, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452809,SRR2396879,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_4_1
362, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452810,SRR2396880,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_6_1
363, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452811,SRR2396881,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_8_1
364, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452812,SRR2396882,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_10_1
365, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452813,SRR2396883,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_12_1
366, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452814,SRR2396884,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_14_1
367, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452815,SRR2396885,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:O_16_1
368, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452816,SRR2396886,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_2_1
369, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452817,SRR2396887,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_4_1
370, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452818,SRR2396888,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_6_1
371, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452820,SRR2396890,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_10_1
372, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452821,SRR2396891,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_12_1
373, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452822,SRR2396892,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_14_1
374, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452823,SRR2396893,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_16_1
375, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452824,SRR2396894,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_18_1
376, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452825,SRR2396895,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_20_1
377, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452826,SRR2396896,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_22_1
378, Machado,Drosophila_simulans,41,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Nov,1,SAMN03452827,SRR2396897,Machado:Linvilla:Pennsylvania:North_America:Nov:01:2011:M_24_1
379, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452828,SRR2396898,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_2_1
380, Machado,Drosophila_simulans,50,I,North_America,USA,Pennsylvania,Linvilla,39.88,-75.41,2011,Sep,1,SAMN03452829,SRR2396899,Machado:Linvilla:Pennsylvania:North_America:Sep:01:2011:A_4_1
