Estimate	Std. Error	t value	Pr(>|t|)	Dim	terms	run_type	test_type	p.val.fdr	p.val.bonfe
-53.8648479010386	42.7882905094745	-1.2588688928601	0.218117436799618	Dim.4	In_3R_Payne	3R	inv	0.975679543839129	1
19.4850162565623	7.4177742257849	2.62680093293087	0.0136258842682383	Dim.5	In_2L_t	3R	inv	0.408776528047148	1
22.4259067374622	42.9806928585829	0.521766989919147	0.605795153824777	Dim.5	In_2R_Ns	3R	inv	0.975793833869054	1
31.6399098479568	207.20308647327	0.152699992970609	0.87969237157243	Dim.5	In_3L_P	3R	inv	0.996583349887132	1
24.2515093877171	148.060274727792	0.163794842555192	0.871028876649513	Dim.5	In_3R_C	3R	inv	0.996583349887132	1
93.1493783847394	55.5745873259334	1.67611462121055	0.10446580857158	Dim.5	In_3R_Mo	3R	inv	0.975679543839129	1
-42.4475452420855	41.8467826029465	-1.01435624441762	0.318801494216087	Dim.5	In_3R_Payne	3R	inv	0.975679543839129	1
-10.3714084859505	7.95154257803466	-1.30432659879109	0.202379812972639	Dim.6	In_2L_t	3R	inv	0.975679543839129	1
28.454731983529	42.4792206571496	0.669850612683964	0.508252029888102	Dim.6	In_2R_Ns	3R	inv	0.975793833869054	1
-27.5273270458739	205.420855530209	-0.134004538997871	0.894324648855293	Dim.6	In_3L_P	3R	inv	0.997807440940946	1
-76.3685120330676	146.154687083664	-0.522518391691069	0.605278603969278	Dim.6	In_3R_C	3R	inv	0.975793833869054	1
-9.01081787135511	57.6740194978008	-0.156237036187476	0.876928745276097	Dim.6	In_3R_Mo	3R	inv	0.996583349887132	1
42.8976566409609	41.4540723002197	1.0348237039364	0.30930395199716	Dim.6	In_3R_Payne	3R	inv	0.975679543839129	1
-7.20143298525439	7.87465364917315	-0.914507901691721	0.367991602689663	Dim.7	In_2L_t	3R	inv	0.975679543839129	1
-10.3301176825848	41.7471848886272	-0.24744465309801	0.806307667573734	Dim.7	In_2R_Ns	3R	inv	0.996583349887132	1
-153.565857839218	198.57331198699	-0.773345905865131	0.445576072131708	Dim.7	In_3L_P	3R	inv	0.975793833869054	1
-183.090834700931	139.268069870629	-1.31466483933475	0.198925163077707	Dim.7	In_3R_C	3R	inv	0.975679543839129	1
-13.5354818596846	56.2736035115533	-0.240529857962725	0.811611827341604	Dim.7	In_3R_Mo	3R	inv	0.996583349887132	1
37.0295073581713	40.6335362503337	0.911304079714874	0.369648495914484	Dim.7	In_3R_Payne	3R	inv	0.975679543839129	1
4.99431979792399	7.83497416180702	0.637439217383727	0.528839768785082	Dim.8	In_2L_t	3R	inv	0.975793833869054	1
-6.37077401076086	41.2629823015957	-0.154394414930946	0.878368260578143	Dim.8	In_2R_Ns	3R	inv	0.996583349887132	1
221.654895628138	193.834103028729	1.14352888457036	0.262171244308817	Dim.8	In_3L_P	3R	inv	0.975679543839129	1
-0.218246428689067	141.604144457017	-0.00154124322791494	0.998780819836491	Dim.8	In_3R_C	3R	inv	0.998780819836491	1
-51.8565524073451	54.8009327113477	-0.946271346885435	0.351828711804167	Dim.8	In_3R_Mo	3R	inv	0.975679543839129	1
40.5228887998747	40.0054877400728	1.0129332521369	0.319469202928541	Dim.8	In_3R_Payne	3R	inv	0.975679543839129	1
8.77706552642058	7.47029972510648	1.17492816210871	0.2495807713258	Dim.9	In_2L_t	3R	inv	0.975679543839129	1
-1.04086846136142	40.0047133958133	-0.0260186456296512	0.97942068651261	Dim.9	In_2R_Ns	3R	inv	0.998780819836491	1
-160.279464309865	189.716388158162	-0.844837211302189	0.405118003721234	Dim.9	In_3L_P	3R	inv	0.975679543839129	1
-210.82154395387	131.528776086838	-1.60285490541386	0.119804406080685	Dim.9	In_3R_C	3R	inv	0.975679543839129	1
-77.5361447840698	51.9645169734709	-1.4920978640801	0.146473114171804	Dim.9	In_3R_Mo	3R	inv	0.975679543839129	1
4.41413617109976	39.4414604932856	0.111916143973706	0.911660957925031	Dim.9	In_3R_Payne	3R	inv	0.997807440940946	1
8.79593845235103	7.33774717942653	1.19872465448428	0.240339163927307	Dim.10	In_2L_t	3R	inv	0.975679543839129	1
2.85587193848452	39.3282682213584	0.0726162647795803	0.942610014792494	Dim.10	In_2R_Ns	3R	inv	0.998780819836491	1
40.8585683945982	188.652124317494	0.216581544164511	0.83005084833555	Dim.10	In_3L_P	3R	inv	0.996583349887132	1
19.5327807005468	134.872764982755	0.144823758177155	0.88585186656634	Dim.10	In_3R_C	3R	inv	0.996583349887132	1
-132.930133293629	46.9173488571064	-2.83328313580734	0.00829823200430862	Dim.10	In_3R_Mo	3R	inv	0.316850132893459	1
