Estimate	Std. Error	t value	Pr(>|t|)	Dim	terms	run_type	test_type	p.val.fdr	p.val.bonfe
-0.0894902297097306	0.410592910950321	-0.217953664866265	0.828991609628674	Dim.18	year	2L	year	0.980135390927686	1
-0.0963866302102333	0.40771990246386	-0.236404035289342	0.814780996680665	Dim.19	year	2L	year	0.980135390927686	1
0.0730916392641373	0.406183422592116	0.179947371553701	0.858445406499221	Dim.20	year	2L	year	0.980135390927686	1
-0.149874785436793	0.399675334374741	-0.374991330579005	0.710395484920188	Dim.21	year	2L	year	0.980135390927686	1
0.193270216566061	0.393679491373827	0.490932905576574	0.627168577977317	Dim.22	year	2L	year	0.980135390927686	1
-0.141010896469937	0.389469998100178	-0.362058431092981	0.719933401660309	Dim.23	year	2L	year	0.980135390927686	1
-0.0382460820833374	0.386417359073722	-0.0989760971790109	0.921838254342834	Dim.24	year	2L	year	0.980135390927686	1
-0.229285540955351	0.376367002874667	-0.60920734071819	0.547130443743331	Dim.25	year	2L	year	0.980135390927686	1
0.0109578972273665	0.373173001620684	0.0293641211442856	0.976775341754926	Dim.26	year	2L	year	0.980135390927686	1
0.051283559198744	0.36710591380322	0.139696902911331	0.889865178176293	Dim.27	year	2L	year	0.980135390927686	1
-0.0490751389326724	0.356129949373307	-0.137801212784916	0.891349886297198	Dim.28	year	2L	year	0.980135390927686	1
-0.0412102687029036	0.351185149373234	-0.117346273828641	0.907394618061053	Dim.29	year	2L	year	0.980135390927686	1
-0.115267647647171	0.321779100702682	-0.358219807922442	0.722773294005742	Dim.30	year	2L	year	0.980135390927686	1
53.5327027466872	11.4936434953664	4.65759206541152	6.56417339874222e-05	Dim.1	In_2L_t	2L	inv	0.011815512117736	0.011815512117736
-104.139844846498	77.1208794179478	-1.35034566037719	0.187349948173979	Dim.1	In_2R_Ns	2L	inv	0.977049599209478	1
899.426116180273	343.179846671409	2.62085936835756	0.0138184015468683	Dim.1	In_3L_P	2L	inv	0.414552046406049	1
431.667925836644	260.69567139176	1.65583081426755	0.10853914422337	Dim.1	In_3R_C	2L	inv	0.977049599209478	1
-86.9828026279272	105.943942409906	-0.821026673628805	0.418329502911348	Dim.1	In_3R_Mo	2L	inv	0.994467272406793	1
-1.13117359731627	78.4047626771817	-0.0144273582202357	0.988587833112698	Dim.1	In_3R_Payne	2L	inv	0.994467272406793	1
-26.5702947704117	10.0277365212267	-2.64968018596895	0.0129075977044071	Dim.2	In_2L_t	2L	inv	0.414552046406049	1
69.4769486346307	57.0326695450824	1.21819562697677	0.232968116163543	Dim.2	In_2R_Ns	2L	inv	0.977049599209478	1
401.13649244605	270.627044000732	1.48224836112449	0.149060286247082	Dim.2	In_3L_P	2L	inv	0.977049599209478	1
224.979477642556	196.185674389007	1.14676812332614	0.260851385573609	Dim.2	In_3R_C	2L	inv	0.977049599209478	1
