Estimate	Std. Error	t value	Pr(>|t|)	PC	variable	Samples	r_sq	P_bon_test
-0.417840905885602	0.180072501466219	-2.32040374006793	0.023857592480646	4	long	NorthAmerica	0.588590115328284	0.286291109767752
0.0219348463420541	0.0169167489797405	1.2966348539145	0.199891931792133	4	MeanEC	NorthAmerica	0.588590115328284	1
-0.216393991510734	0.327411143278018	-0.660924333070072	0.509982718868278	5	year	all_pops	0.144515090097501	1
0.576542558188905	0.143241425700257	4.02497081672002	0.000102437087003884	5	lat	all_pops	0.144515090097501	0.0012292450440466
-0.0325814435060278	0.0172562218682784	-1.88809831924573	0.0615326905417455	5	long	all_pops	0.144515090097501	0.738392286500946
0.0384054353789562	0.0392961379088501	0.977333586013976	0.330455501053061	5	MeanEC	all_pops	0.144515090097501	1
-1.19368830975074	1.10779827021643	-1.0775322022461	0.286216057542686	5	year	Europe	0.55402115764794	1
0.769082986285524	0.159672334042466	4.81663270533129	1.30358666754882e-05	5	lat	Europe	0.55402115764794	0.000156430400105858
0.527739903765425	0.0837652723080848	6.30022310229498	6.44241090038538e-08	5	long	Europe	0.55402115764794	7.73089308046246e-07
0.173248680151022	0.161127752453102	1.0752255742005	0.287237518090226	5	MeanEC	Europe	0.55402115764794	1
0.227882204959603	0.117573612787936	1.93820874902115	0.057470226744589	5	year	NorthAmerica	0.547787527245362	0.689642720935068
1.38919288600037	0.249925609763733	5.55842551435062	7.19396837780946e-07	5	lat	NorthAmerica	0.547787527245362	8.63276205337135e-06
0.275174264570324	0.0774749130899826	3.5517853921401	0.000767526378967728	5	long	NorthAmerica	0.547787527245362	0.00921031654761274
0.00542627165328845	0.00727831093753268	0.745539961106407	0.458956182878969	5	MeanEC	NorthAmerica	0.547787527245362	1
-1.11650995160676	0.312741167720008	-3.57007668592692	0.000522002012825294	6	year	all_pops	0.165872260721001	0.00626402415390353
-0.520462161070903	0.136823353936179	-3.80389857504641	0.000229755436498247	6	lat	all_pops	0.165872260721001	0.00275706523797897
