Run	Collection_Date	Sample.Name	sex
SRR14481683	7/8/16	CM_046_0708	male
SRR14481723	7/8/16	CM_010_0708	male
SRR14481773	10/28/16	CM_105_1028	male
SRR14481548	12/3/16	CM_031_1203	male
SRR14481720	11/11/16	CM_010_1111	male
SRR14481740	9/16/16	CM_157_0916	male
SRR14481597	8/19/16	CM_019_0819	male
SRR14481565	7/22/16	CM_028_0722	male
SRR14481573	10/28/16	CM_004_1028	male
SRR14481582	9/16/16	CM_024_0916	male
SRR14481612	6/24/16	CM_016_0624	male
SRR14481614	9/16/16	CM_015_0916	male
SRR14481670	6/24/16	CM_006_0624	male
SRR14481682	11/11/16	CM_046_1111	male
SRR14481715	7/22/16	CM_012_0722	male
SRR14481764	9/2/16	CM_122_0902	male
SRR14481572	8/19/16	CM_026_0819	male
SRR14481634	10/14/16	CM_076_1014	male
SRR14481728	12/19/16	CM_Dec19_2	male
SRR14481777	8/19/16	CM_007_0819	male
SRR14481561	7/22/16	CM_001_0722	male
SRR14481585	7/8/16	CM_024_0708	male
SRR14481611	8/19/16	CM_016_0819	male
SRR14481631	10/3/16	CM_077_1003	male
SRR14481637	10/14/16	CM_006_1014	male
SRR14481673	10/14/16	CM_051_1014	male
SRR14481677	10/14/16	CM_049_1014	male
SRR14481684	9/16/16	CM_045_0916	male
SRR14481737	10/14/16	CM_164_1014	male
SRR14481748	9/2/16	CM_146_0902	male
SRR14481793	11/11/16	CM_083_1111	male
