Plate,Well,Date,Location,sample ID,Cage,Population,Swarm,Season
OW2,A11,11.29.2018,Carter Mountain wild Male ASB,4,NA,CM,NA,fall
OW2,A12,11.29.2018,Carter Mountain wild Male ASB,5,NA,CM,NA,fall
OW2,B1,11.29.2018,Carter Mountain wild Male ASB,6,NA,CM,NA,fall
OW2,B2,11.29.2018,Carter Mountain wild Male ASB,7,NA,CM,NA,fall
OW2,B3,11.29.2018,Carter Mountain wild Male ASB,8,NA,CM,NA,fall
OW2,B4,11.29.2018,Carter Mountain wild Male ASB,9,NA,CM,NA,fall
OW2,B5,11.29.2018,Carter Mountain wild Male ASB,10,NA,CM,NA,fall
OW2,B6,11.29.2018,Carter Mountain wild Male ASB,11,NA,CM,NA,fall
OW2,B7,11.29.2018,Carter Mountain wild Male ASB,12,NA,CM,NA,fall
OW2,B8,11.29.2018,Carter Mountain wild Male ASB,13,NA,CM,NA,fall
OW2,B9,11.29.2018,Carter Mountain wild Male ASB,14,NA,CM,NA,fall
OW2,B10,11.29.2018,Carter Mountain wild Male ASB,15,NA,CM,NA,fall
OW2,B11,11.29.2018,Carter Mountain wild Male ASB,16,NA,CM,NA,fall
OW2,B12,11.29.2018,Carter Mountain wild Male ASB,17,NA,CM,NA,fall
OW2,C1,11.29.2018,Carter Mountain wild Male ASB,18,NA,CM,NA,fall
OW2,C2,11.29.2018,Carter Mountain wild Male ASB,19,NA,CM,NA,fall
OW2,C3,11.29.2018,Carter Mountain wild Male ASB,20,NA,CM,NA,fall
OW2,C4,11.29.2018,Carter Mountain wild Male ASB,21,NA,CM,NA,fall
OW2,C5,11.29.2018,Carter Mountain wild Male ASB,22,NA,CM,NA,fall
OW2,C6,11.29.2018,Carter Mountain wild Male ASB,23,NA,CM,NA,fall
OW2,C7,11.29.2018,Carter Mountain wild Male ASB,24,NA,CM,NA,fall
OW2,C8,11.29.2018,Carter Mountain wild Male ASB,25,NA,CM,NA,fall
OW2,C9,11.29.2018,Carter Mountain wild Male ASB,26,NA,CM,NA,fall
OW2,C10,11.29.2018,Carter Mountain wild Male ASB,27,NA,CM,NA,fall
OW2,C11,11.29.2018,Carter Mountain wild Male ASB,28,NA,CM,NA,fall
OW2,C12,11.29.2018,Carter Moutain Isofemale,9,NA,CM,NA,fall
OW2,D1,11.29.2018,Carter Moutain Isofemale,12,NA,CM,NA,fall
OW2,D2,11.29.2018,Carter Moutain Isofemale,13,NA,CM,NA,fall
OW2,D3,11.29.2018,Carter Moutain Isofemale,18,NA,CM,NA,fall
OW2,D4,11.29.2018,Carter Moutain Isofemale,19,NA,CM,NA,fall
OW2,D5,11.29.2018,Carter Moutain Isofemale,21,NA,CM,NA,fall
OW2,D6,11.29.2018,Carter Moutain Isofemale,22,NA,CM,NA,fall
OW2,D7,11.29.2018,Carter Moutain Isofemale,29,NA,CM,NA,fall
OW2,D8,11.29.2018,Carter Moutain Isofemale,37,NA,CM,NA,fall
OW2,D9,11.29.2018,Carter Moutain Isofemale,38,NA,CM,NA,fall
OW2,D10,11.29.2018,Carter Moutain Isofemale,39,NA,CM,NA,fall
OW2,D11,11.29.2018,Carter Moutain Isofemale,40,NA,CM,NA,fall
OW2,D12,11.29.2018,Carter Moutain Isofemale,44,NA,CM,NA,fall
OW2,E1,11.29.2018,Carter Moutain Isofemale,48,NA,CM,NA,fall
OW2,E2,11.29.2018,Carter Moutain Isofemale,51,NA,CM,NA,fall
OW2,E3,6.4.2019,Morven Isofemale,2.1,2,Morven,B,spring
OW2,E4,6.4.2019,Morven Isofemale,2.2,2,Morven,B,spring
OW2,E5,6.4.2019,Morven Isofemale,2.5,2,Morven,B,spring
OW2,E6,6.4.2019,Morven Isofemale,2.8,2,Morven,B,spring
OW2,E7,6.4.2019,Morven Isofemale,2.9,2,Morven,B,spring
OW2,E8,6.4.2019,Morven Isofemale,3.1,3,Morven,A,spring
OW2,E9,6.4.2019,Morven Isofemale,3.2,3,Morven,A,spring
OW2,E10,6.4.2019,Morven Isofemale,3.3,3,Morven,A,spring
OW2,E11,6.4.2019,Morven Isofemale,3.4,3,Morven,A,spring
OW2,E12,6.4.2019,Morven Isofemale,3.5,3,Morven,A,spring
OW2,F1,6.4.2019,Morven Isofemale,3.7,3,Morven,A,spring
OW2,F2,6.4.2019,Morven Isofemale,3.8,3,Morven,A,spring
OW2,F3,6.4.2019,Morven Isofemale,3.9,3,Morven,A,spring
OW2,F4,6.4.2019,Morven Isofemale,3.10,3,Morven,A,spring
OW2,F5,6.4.2019,Morven Isofemale,3.12,3,Morven,A,spring
OW2,F6,6.4.2019,Morven Isofemale,3.13,3,Morven,A,spring
OW2,F7,6.4.2019,Morven Isofemale,3.11,3,Morven,A,spring
OW2,F8,6.4.2019,Morven Isofemale,3.14,3,Morven,A,spring
OW2,F9,6.4.2019,Morven Isofemale,3.15,3,Morven,A,spring
OW2,F10,6.4.2019,Morven Isofemale,3.16,3,Morven,A,spring
OW2,F11,6.4.2019,Morven Isofemale,3.17,3,Morven,A,spring
