Sample	SRR
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
Denis7_8	SRS2378183
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
DenisMCL	SRS2378182
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
Denis135	SRS2378180
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF8	SRS2378181
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
PNF5	SRS2378179
