mod	var	chr	inv	cluster	prop.real	totalN	prop.perm.mu	prop.perm.lci	prop.perm.uci	prop.perm.med	prop.rr	prop.sd	rr	en	p	sig	modRank	label	year	start	end	model.name
11	temp.max	2L	Inside Inversion	2.North_America_E	0.000793042053788034	576262	0.000388712078880787	0.000230728383964238	0.000984413339765593	0.000388712078880787	1.0287098094894	0.509320701150772	2.04017857142857	1.04017857142857	0.0217037130884986	FALSE	14	M	1	0	90	temp.max_0_90
11	humidity.ave	2L	Inside Inversion	2.North_America_E	0.000720158538997886	576262	0.000383506113538633	0.000196056654785497	0.00107258503944387	0.000383506113538633	0.9095968577941	0.603211460651562	1.87782805429864	0.877828054298643	0.0657870280372221	FALSE	28	M	1	0	90	humidity.ave_0_90
7	humidity.ave	2L	Inside Inversion	2.North_America_E	0.00126331425636256	576262	0.000694128712287119	0.000447001537495098	0.00141222221836595	0.000694128712287119	0.863942958860063	0.435822591402936	1.82	0.82	0.0237213181941688	FALSE	101	I	1	60	90	humidity.ave_60_90
6	temp.max	2L	Inside Inversion	2.North_America_E	0.000640333737084868	576262	0.000357476286827866	0.000215145194373393	0.000694267538029577	0.000357476286827866	0.84099347755801	0.38100651258436	1.79126213592233	0.79126213592233	0.0136467550113935	FALSE	33	H	1	30	60	temp.max_30_60
6	temp.ave	2L	Inside Inversion	2.North_America_E	0.000531008464899646	576262	0.000315828564090639	0.000194234566915743	0.000735151719183289	0.000315828564090639	0.749593202493956	0.450315111226308	1.68131868131868	0.681318681318681	0.0479965878695291	FALSE	3	H	1	30	60	temp.ave_30_60
11	temp.propMax	2L	Inside Inversion	2.North_America_E	0.00135355098895988	576262	0.000857248959674593	0.000487521301074858	0.00173910478219976	0.000857248959674593	0.658966038077169	0.45472391949083	1.57894736842105	0.578947368421052	0.0736469674971659	FALSE	26	M	1	0	90	temp.propMax_0_90
6	humidity.ave	2L	Inside Inversion	2.North_America_E	0.0015114652710052	576262	0.000962235927408019	0.000631657128181279	0.00227335829882935	0.000962235927408019	0.651490537119757	0.419437841605752	1.57078449053201	0.570784490532011	0.0601820775107677	FALSE	10	H	1	30	60	humidity.ave_30_60
9	humidity.ave	2L	Inside Inversion	2.North_America_E	0.00122513717718677	576262	0.000784365444884445	0.000534409695589853	0.00136837063696721	0.000784365444884445	0.643359534017204	0.332680732081384	1.56194690265487	0.561946902654867	0.0265648808226467	FALSE	20	K	1	45	75	humidity.ave_45_75
9	temp.max	2L	Inside Inversion	2.North_America_E	0.000763541583515831	576262	0.000501507994627444	0.000383106989529068	0.000873422158670883	0.000501507994627444	0.606511765695456	0.298382786948541	1.52249134948097	0.522491349480969	0.0210432714682039	FALSE	49	K	1	45	75	temp.max_45_75
6	temp.propMax	2L	Inside Inversion	2.North_America_E	0.00114357705349303	576262	0.000757467957283319	0.000497638227056443	0.00169629439386946	0.000757467957283319	0.59430532983942	0.385610191824738	1.50973654066438	0.509736540664376	0.0616331431756228	FALSE	78	H	1	30	60	temp.propMax_30_60
