sampleId	country	city	locality	collectionDate	nFlies	SRA_accession	Seq_strategy	sample_type	PCA.set	FST.set	GLM.set	IND.set	Source_Data	Notes
DE_Mun_16_13	Germany	Munich	DE_Mun	9/1/16	40	SRR8494454	pooled	wild_caught_and_G1	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
DK_Kar_14_39	Denmark	Karensminde	DK_Kar	9/1/14	40	SRR5647772	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DK_Kar_14_41	Denmark	Karensminde	DK_Kar	11/25/14	40	SRR5647771	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
DK_Kar_16_2	Denmark	Karensminde Orchard	DK_Kar	6/8/16	40	SRR8494440	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DK_Kar_16_3	Denmark	Karensminde Orchard	DK_Kar	9/15/16	40	SRR8494438	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
DK_Kar_16_4	Denmark	Karensminde Orchard	DK_Kar	11/22/16	40	SRR8494437	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
ES_Ben_16_32	Spain	Benalua	ES_Ben	10/8/16	40	SRR8494475	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Cor_15_33	Spain	Cortes de Baza	ES_Cor	8/8/15	40	SRR8439163	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gim_14_34	Spain	Gimenells	ES_Gim	10/20/14	40	SRR5647769	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gim_14_35	Spain	Gimenells	ES_Gim	8/13/14	40	SRR5647776	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gim_15_30	Spain	Gimenells	ES_Gim	6/28/15	40	SRR8439138	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gim_15_31	Spain	Gimenells	ES_Gim	10/22/15	40	SRR8439168	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gim_16_33	Spain	Gimenells	ES_Gim	8/25/16	40	SRR8494470	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gim_16_34	Spain	Gimenells	ES_Gim	10/21/16	40	SRR8494472	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
ES_Gua_15_32	Spain	Guadix	ES_Gua	9/12/15	40	SRR8439164	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Pur_16_35	Spain	Purullena(Guadix)	ES_Pur	8/30/16	40	SRR8494462	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Tom_15_28	Spain	Tomelloso	ES_Tom	10/8/15	40	SRR8439136	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Tom_15_29	Spain	Tomelloso	ES_Tom	9/17/15	40	SRR8439137	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Tom_16_36	Spain	Tomelloso	ES_Tom	9/2/16	40	SRR8494461	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
ES_Tom_16_37	Spain	Tomelloso	ES_Tom	10/11/16	40	SRR8494460	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
FI_Aka_14_36	Finland	Akaa	FI_Aka	7/25/14	40	SRR5647775	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
FI_Aka_14_37	Finland	Akaa	FI_Aka	8/27/14	40	SRR5647774	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
FI_Aka_15_34	Finland	Akaa	FI_Aka	10/1/15	40	SRR8439162	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FI_Aka_15_35	Finland	Akaa	FI_Aka	7/21/15	40	SRR8439161	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FI_Aka_16_5	Finland	Akaa	FI_Aka	7/24/16	40	SRR8494445	pooled	wild	TRUE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FI_Aka_16_6	Finland	Akaa	FI_Aka	9/17/16	40	SRR8494443	pooled	wild	TRUE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
FI_Ves_14_38	Finland	Vesanto	FI_Ves	7/26/14	33	SRR5647773	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FI_Ves_16_7	Finland	Vesanto	FI_Ves	7/29/16	40	SRR8494442	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
FR_Got_14_08	France	Gotheron	FR_Got	7/8/14	40	SRR5647753	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Got_15_47	France	Gotheron	FR_Got	5/21/15	40	SRR8439122	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Got_15_48	France	Gotheron	FR_Got	9/9/15	40	SRR8439123	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Got_15_49	France	Gotheron	FR_Got	10/13/15	40	SRR8439126	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Got_16_8	France	Gotheron	FR_Got	6/13/16	40	SRR8494447	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
FR_Vil_14_05	France	Viltain	FR_Vil	8/18/14	40	SRR5647755	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Vil_14_07	France	Viltain	FR_Vil	10/27/14	40	SRR5647729	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Vil_15_40	France	Viltain	FR_Vil	8/10/15	40	SRR8439165	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Vil_15_41	France	Viltain	FR_Vil	10/14/15	40	SRR8439120	pooled	wild	FALSE	TRUE	TRUE	FALSE	Kapun et al 2021	NA
FR_Vil_16_9	France	Viltain	FR_Vil	8/12/16	40	SRR8494435	pooled	wild	FALSE	FALSE	TRUE	FALSE	Kapun et al 2021	NA
